timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2019/06/18 17:02:07.357, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 56 %, 21 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:08.358, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 3 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:09.360, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 39 %, 15 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:10.361, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 20 %, 7 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:11.362, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 44 %, 16 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:12.363, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 59 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:13.364, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 59 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:14.364, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 39 %, 16 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:15.365, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 46 %, 16 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:16.366, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 15 %, 5 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:17.367, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 40 %, 15 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:18.367, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 43 %, 17 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:19.368, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 51 %, 20 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:20.369, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:21.369, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 46 %, 18 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:22.370, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 20 %, 7 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:23.371, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 50 %, 19 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:24.371, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 16 %, 4 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:25.372, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 19 %, 7 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:26.372, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 23 %, 8 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:27.373, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 35 %, 12 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:28.374, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 30 %, 10 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:29.374, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 50 %, 19 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:30.375, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:31.375, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 57, 50 %, 19 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:32.376, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 35 %, 14 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:33.377, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 49 %, 18 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:34.378, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 54 %, 20 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:35.378, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 46 %, 18 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:36.379, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 26 %, 10 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:37.379, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 40 %, 12 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:38.380, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 59 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:39.381, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:40.381, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 39 %, 14 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:41.382, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 3 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:42.383, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 35 %, 14 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:43.384, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 59 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:44.385, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:45.386, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 58 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:46.386, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 60 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:47.387, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 11 %, 3 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:48.388, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 59 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:49.388, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 1 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:50.389, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 8 %, 3 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:51.390, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 58 %, 21 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:52.390, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 43 %, 17 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:53.391, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 48 %, 16 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:54.392, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 11 %, 4 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:55.392, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 56 %, 20 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:56.393, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 18 %, 7 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:57.394, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 1 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:58.394, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 17 %, 5 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:02:59.395, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 43 %, 16 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:00.396, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 60 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:01.397, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 59 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:02.397, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 15 %, 6 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:03.398, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 36 %, 11 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:04.399, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 38 %, 14 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:05.399, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 36 %, 14 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:06.400, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 51 %, 19 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:07.401, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 40 %, 15 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:08.401, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 58 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:09.402, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 39 %, 15 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:10.403, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 38 %, 14 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:11.403, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 13 %, 5 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:12.404, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 28 %, 11 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:13.405, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 58 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:14.405, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 7 %, 2 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:15.406, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:16.407, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:17.407, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 41 %, 12 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:18.408, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 8 %, 3 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:19.409, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 2 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:20.409, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 55 %, 20 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:21.410, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 47 %, 19 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:22.410, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 59 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:23.411, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 55 %, 21 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:24.412, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 38 %, 13 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:25.412, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 9 %, 3 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:26.413, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 40 %, 15 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:27.414, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 57 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:28.415, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:29.415, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 58 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:30.416, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 40 %, 15 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:31.416, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 39 %, 15 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:32.417, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 54 %, 20 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:33.418, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 40 %, 15 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:34.418, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 43 %, 16 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:35.419, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 54 %, 20 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:36.420, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 34 %, 14 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:37.420, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 21 %, 8 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:38.421, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 59 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:39.422, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 42 %, 16 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:40.422, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 43 %, 17 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:41.423, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:42.424, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:43.424, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 40 %, 14 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:44.425, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
